index_number,followers_count_linkedin,number_of_connections_mapped_linkedin,about_section_linkedin,average_reaction_count_linkedin,average_comment_count_linkedin,average_post_frequency_linkedin
1347,872,1,"a full stack web developer with a great experience for over 3 years and still counting,i have a license degree of fundamental studies in mathematical and computer science.a full stack web developer with a great experience for over 3 years and still counting,i have a license degree of fundamental studies in mathematical and computer science.",19.67,2.67,131.91
2321,1835,1,"Online instructor assisting students with learning skills in Software Engineering Programs and Computer Science. I am seeking remote online job opportunities. I am a Web Development Digital Marketing and IT Manager. I have 10 plus years as a Front End Developer and Digital Marketing Manager. Wordpress and E-commerce sites and internal frameworks. Specializes in Business Management practices according to organizational requirements.HTML5 SEO IT Manager Digital Marketing Manager CSS3 WordPress Bootstrap JQuery JavaScript Responsive DesignOnline instructor assisting students with learning skills in Software Engineering Programs and Computer Science. I am seeking remote online job opportunities. I am a Web Development Digital Marketing and IT Manager. I have 10 plus years as a Front End Developer and Digital Marketing Manager. Wordpress and E-commerce sites and internal frameworks. Specializes in Business Management practices according to organizational requirements.
HTML5 SEO IT Manager Digital Marketing Manager CSS3 WordPress Bootstrap JQuery JavaScript Responsive Design",0.0,0.0,5.0
1098,126353,1,Helping engineers upskill through our learning platform kodekloud.comHelping engineers upskill through our learning platform kodekloud.com,1280.33,21.33,2.67
247,1597,1,"Nick Ivanecky has more than 6+ years of product management experience with a focus in delivering B2B experiences that improve customer value in these verticals SaaS, Marketplaces, eCommerce. Nick currently leads an internal product at Amazon that pilots new B2B shopping experiences for US enterprise customers. The insights and impact from his area of work is well above $200M. Before this, he managed B2B sustainability efforts to help customers purchase products with sustainable certifications. He created business proposals for Amazon leadership to take their environmental, social, and governance program to new heights with potential impact reaching beyond $1B in the global market. Prior to Amazon, Nick created a new SaaS offering at Dun and Bradstreet to enter a $2B sales intelligence market helping B2B marketers uncover new insights about their campaigns. He lead the concept from ideation to US market launch. Nick holds an Masters in Engineering/Entrepreneurship from McMaster University and a Bachelor’s in Mechatronics Engineering from McMaster University. Nick Ivanecky’s work has been featured in numerous publications like GoPractice, GitHub, Medium, and Linkedin for his expertise in B2B product management. He is an avid product management speaker at Product Led Summit, ProductCamp, and local product management meetups in his community. In his free time, he enjoys rowing competitively on Lady Bird Lake, Austin where he has won numerous accolades as a USRowing Masters National Champion. Nick is customer obsessed and exhibits a strong bias for action when it comes to building the right products.“Compound interest is the eighth wonder of the world. He who understands it, earns it … he who doesn’t … pays it.” – Albert EinsteinHow to connect with me: Feel free to add me to LinkedIn, but *Always* include an introduction, otherwise I'm unlikely to accept.Skills: Customer Development, Pitching, Prioritizing, KPIs, Agile Development, PRDs, QA, User Testing, Product Management, GitHub, BitBucket, Javascript, Nodejs, AWS, Lambda, HTML, CSS, Sketch, InvisionApp, Prototyping, A/B Testing, Usability Tests, Mixpanel, Google AnalyticsNick Ivanecky has more than 6+ years of product management experience with a focus in delivering B2B experiences that improve customer value in these verticals SaaS, Marketplaces, eCommerce. Nick currently leads an internal product at Amazon that pilots new B2B shopping experiences for US enterprise customers. The insights and impact from his area of work is well above $200M. Before this, he managed B2B sustainability efforts to help customers purchase products with sustainable certifications. He created business proposals for Amazon leadership to take their environmental, social, and governance program to new heights with potential impact reaching beyond $1B in the global market. 

Prior to Amazon, Nick created a new SaaS offering at Dun and Bradstreet to enter a $2B sales intelligence market helping B2B marketers uncover new insights about their campaigns. He lead the concept from ideation to US market launch. Nick holds an Masters in Engineering/Entrepreneurship from McMaster University and a Bachelor’s in Mechatronics Engineering from McMaster University. 

Nick Ivanecky’s work has been featured in numerous publications like GoPractice, GitHub, Medium, and Linkedin for his expertise in B2B product management. He is an avid product management speaker at Product Led Summit, ProductCamp, and local product management meetups in his community. In his free time, he enjoys rowing competitively on Lady Bird Lake, Austin where he has won numerous accolades as a USRowing Masters National Champion. Nick is customer obsessed and exhibits a strong bias for action when it comes to building the right products.

“Compound interest is the eighth wonder of the world. He who understands it, earns it … he who doesn’t … pays it.” – Albert Einstein

How to connect with me: Feel free to add me to LinkedIn, but *Always* include an introduction, otherwise I'm unlikely to accept.

Skills: Customer Development, Pitching, Prioritizing, KPIs, Agile Development, PRDs, QA, User Testing, Product Management, GitHub, BitBucket, Javascript, Nodejs, AWS, Lambda, HTML, CSS, Sketch, InvisionApp, Prototyping, A/B Testing, Usability Tests, Mixpanel, Google Analytics",15.0,1.33,83.51
1767,1256,1,"We are a next generation Software Consulting firm dealing in developing Web Application, Cloud based system, Blockchain to Artificial Intelligence solutions. We also have state of the art training facility for young professional or experienced professional who wants to learn latest cutting edge technology and become the Software Developer.We are a next generation Software Consulting firm dealing in developing Web Application, Cloud based system, Blockchain to Artificial Intelligence solutions. We also have state of the art training facility for young professional or experienced professional who wants to learn latest cutting edge technology and become the Software Developer.",1.33,0.33,71.03
1469,4717,1,"Having total 18+ years professional experience in Teaching & Research. My general areas of research- Machine Learning, Artificial Intelligence and Data Science, with a focus on information retrieval and recognition.Delivered Expert / Invited Talks at AICTE/NAAC/UGC sponsored Workshops, Seminars & Faculty Development Programs on:-- Outcome Based Education (OBE)-- NBA accreditation process-- NAAC accreditation processDelivered Technical Talks on:-- Formal Languages and Automata Theory-- Compiler Design-- R programming-- Python programming-- Importance of Internships and MOOCs certificationsDeveloped ICT e-content on the following Computer Science related courses:-----------------------------------------------------------------------------1. Python Programming for beginners2. R Programming3. Formal Languages and Automata Theory4. Compiler DesignMOOCS CERTIFICATION COURSES developed and available in Udemy International platform---------------------------------------------------------------------------------https://www.udemy.com/user/dr-r-madana-mohana/1. Python Programming-For Every Beginners2. Introduction to R Programming3. Basics of R Software for Data Science4. Formal Languages and Automata Theory5. Compiler DesignEditor-in-Chief:-----------------------International Journal of Engineering Computational Research and Technology (IJECRT)http://ijecrt.org/Official Academic ICT YouTube Channel:---------------------------------------------------------------https://www.youtube.com/c/RASINENIMADANAMOHANAHaving total 18+ years professional experience in Teaching & Research. My general areas of research- Machine Learning, Artificial Intelligence and Data Science, with a focus on information retrieval and recognition.

Delivered Expert / Invited Talks at AICTE/NAAC/UGC sponsored Workshops, Seminars & Faculty Development Programs on:
-- Outcome Based Education (OBE)
-- NBA accreditation process
-- NAAC accreditation process

Delivered Technical Talks on:
-- Formal Languages and Automata Theory
-- Compiler Design
-- R programming
-- Python programming
-- Importance of Internships and MOOCs certifications

Developed ICT e-content on the following Computer Science related courses:
-----------------------------------------------------------------------------
1. Python Programming for beginners
2. R Programming
3. Formal Languages and Automata Theory
4. Compiler Design

MOOCS CERTIFICATION COURSES developed and available in Udemy International platform
---------------------------------------------------------------------------------
https://www.udemy.com/user/dr-r-madana-mohana/
1. Python Programming-For Every Beginners
2. Introduction to R Programming
3. Basics of R Software for Data Science
4. Formal Languages and Automata Theory
5. Compiler Design

Editor-in-Chief:
-----------------------
International Journal of Engineering Computational Research and Technology (IJECRT)
http://ijecrt.org/

Official Academic ICT YouTube Channel:
---------------------------------------------------------------
https://www.youtube.com/c/RASINENIMADANAMOHANA",58.0,5.67,40.59
2777,639,1,"Raja helps students become better at coding to get a job or enhance their skills to the next level around the world (online / in class).🏆We run a community website called softauthor.com to provide high-quality programming tutorials and it helps over 40K users/month all around the world.We have published around 40+ written tutorials, 30+ video tutorials currently covering topics ranging from Serverless Apps using all aspects of Firebase, Modern JavaScript, Node.js, Vue.js, CSS (Grid / Flexbox), Google Maps API and Native iOS Apps Programmatically using Swift Language.🏆Udemy's Best Seller Instructor online course https://lnkd.in/gzbKGu7 with over 940+ students within the first month (4.9 ⭐️⭐️⭐️⭐️⭐️)🏆Featured Author @ Medium.com Students come to me when➡️They’re sick of their current career and want to have a fresh start with a NEW CAREER in coding with no prior experience.➡️They’re exhausted from not have in-depth KNOWLEDGE when learning from blog articles and YouTube tutorials.➡️They are employed and want to level up their skills by learning FASTER!After they work with me, my students always THANK ME for✅ Providing them with the support they need until they win their job interview.✅ Explaining a specific topic in a fun way with more detail until they understand it.✅ Supporting and encouraging them closely until they can confidently build projects themselves.WHAT MY STUDENTS ARE SAYINGI have completed BE but didn’t get a job. After the degree, I studied the web development course in SoftAuthor. Now I got a job in a reputed company. They also give internship If you studied well. So, don't waste your money and time at another institute. Learn code in SoftAuthor Be Job Ready for you. ┅ Vijendran DharmarajThe SoftAuthor class was a first to me, but the lessons were clear and involved.  I feel that I learned a good foundation for HTML and CSS, and hopefully, this leads to code more in the future.  It feels much less intimidating now.  Raja was able to maintain a good pace and each class flew by. ┅ Geoff MayneThe hands-on approach to developing responsive websites was both illuminating and helpful for understanding the backbone of modern web applications.  I look forward to developing a personal portfolio in place of using for-pay portfolio content management alternatives! Everyone needs to know code in order to survive in the ever-changing online landscape, especially entrepreneurs. ┅ Mark LamotheRaja helps students become better at coding to get a job or enhance their skills to the next level around the world (online / in class).

🏆We run a community website called softauthor.com to provide high-quality programming tutorials and it helps over 40K users/month all around the world.

We have published around 40+ written tutorials, 30+ video tutorials currently covering topics ranging from Serverless Apps using all aspects of Firebase, Modern JavaScript, Node.js, Vue.js, CSS (Grid / Flexbox), Google Maps API and Native iOS Apps Programmatically using Swift Language.

🏆Udemy's Best Seller Instructor online course https://lnkd.in/gzbKGu7 with over 940+ students within the first month (4.9 ⭐️⭐️⭐️⭐️⭐️)

🏆Featured Author @ Medium.com 

Students come to me when

➡️They’re sick of their current career and want to have a fresh start with a NEW CAREER in coding with no prior experience.

➡️They’re exhausted from not have in-depth KNOWLEDGE when learning from blog articles and YouTube tutorials.

➡️They are employed and want to level up their skills by learning FASTER!


After they work with me, my students always THANK ME for

✅ Providing them with the support they need until they win their job interview.
✅ Explaining a specific topic in a fun way with more detail until they understand it.
✅ Supporting and encouraging them closely until they can confidently build projects themselves.


WHAT MY STUDENTS ARE SAYING

I have completed BE but didn’t get a job. After the degree, I studied the web development course in SoftAuthor. Now I got a job in a reputed company. They also give internship If you studied well. So, don't waste your money and time at another institute. Learn code in SoftAuthor Be Job Ready for you. ┅ Vijendran Dharmaraj

The SoftAuthor class was a first to me, but the lessons were clear and involved.  I feel that I learned a good foundation for HTML and CSS, and hopefully, this leads to code more in the future.  It feels much less intimidating now.  Raja was able to maintain a good pace and each class flew by. ┅ Geoff Mayne


The hands-on approach to developing responsive websites was both illuminating and helpful for understanding the backbone of modern web applications.  I look forward to developing a personal portfolio in place of using for-pay portfolio content management alternatives! Everyone needs to know code in order to survive in the ever-changing online landscape, especially entrepreneurs. ┅ Mark Lamothe",0.0,0.0,9.33
1949,7178,1,"AWS Solutions Architect and Full-stack Developer, leveraging my 10 years of experience designing and building end-to-end AWS solutions for startups, and 19 years of overall IT experience working with multinational organizations of all sizes, collaborating with cross-functional teams and stakeholders at all levels, with a proven track record of delivering time-bound results, and providing exceptional value-adds, I have consistently received recognition from C-level stakeholders. In addition, with creativity at the core, strong mentoring abilities, and my passion to share my knowledge, I have taught AWS Cloud to over 87k+ professionals through my four best-selling online courses on Udemy.If you catch me outside of work, I'm an avid reader and an artist. I read about self-development and love to paint in oil.Feel free to connect on LinkedIn or on Twitter @riyaznet.Key Skills•	Amazon Web Services – AWS Serverless, Lambda, APIs, Serverless Framework, DynamoDB (NoSQL), DAX (DynamoDB Accelerator), Step Functions (Workflow), RDS MySQL (SQL), Elastic Beanstalk, EC2, VPC, CloudWatch, X-Ray, EventBridge, CloudFront, S3, ElastiCache (Redis)•	CI/CD –	CI/CD, Terraform, Git, GitHub, CloudFormation, CodeCommit, CodeBuild, CodePipeline, Docker•	Databases – DynamoDB, RDS, Aurora, MySQL•	Full Stack Programming – Node.js, Express.js, JavaScript, TypeScript, Python, Swagger, OpenAPI, Linux, HTML5, CSS, PHPAWS Solutions Architect and Full-stack Developer, leveraging my 10 years of experience designing and building end-to-end AWS solutions for startups, and 19 years of overall IT experience working with multinational organizations of all sizes, collaborating with cross-functional teams and stakeholders at all levels, with a proven track record of delivering time-bound results, and providing exceptional value-adds, I have consistently received recognition from C-level stakeholders. In addition, with creativity at the core, strong mentoring abilities, and my passion to share my knowledge, I have taught AWS Cloud to over 87k+ professionals through my four best-selling online courses on Udemy.

If you catch me outside of work, I'm an avid reader and an artist. I read about self-development and love to paint in oil.

Feel free to connect on LinkedIn or on Twitter @riyaznet.

Key Skills
•	Amazon Web Services – AWS Serverless, Lambda, APIs, Serverless Framework, DynamoDB (NoSQL), DAX (DynamoDB Accelerator), Step Functions (Workflow), RDS MySQL (SQL), Elastic Beanstalk, EC2, VPC, CloudWatch, X-Ray, EventBridge, CloudFront, S3, ElastiCache (Redis)
•	CI/CD –	CI/CD, Terraform, Git, GitHub, CloudFormation, CodeCommit, CodeBuild, CodePipeline, Docker
•	Databases – DynamoDB, RDS, Aurora, MySQL
•	Full Stack Programming – Node.js, Express.js, JavaScript, TypeScript, Python, Swagger, OpenAPI, Linux, HTML5, CSS, PHP",59.0,4.0,95.99
1871,6972,1,"• Experienced Engineering Leader with 10+ years in software engineering leadership, including project leadership, direct manager, and manager of managers roles.• 12+ years of software engineering in a variety of technologies across the various multiple stacks.• Technical product lead within product organizations supporting millions of users.• Trained, coached, and developed several hundred software engineers (associate, mid, and senior), engineering managers, senior managers, and software architects. • Phenomenal at adapting conversations around technology to a variety of technical contexts.• Absolute nerd for building teams that are diverse and safe.• Experienced Engineering Leader with 10+ years in software engineering leadership, including project leadership, direct manager, and manager of managers roles.

• 12+ years of software engineering in a variety of technologies across the various multiple stacks.

• Technical product lead within product organizations supporting millions of users.

• Trained, coached, and developed several hundred software engineers (associate, mid, and senior), engineering managers, senior managers, and software architects. 

• Phenomenal at adapting conversations around technology to a variety of technical contexts.

• Absolute nerd for building teams that are diverse and safe.",87.33,2.67,5.0
2088,1824,1,"Hi there, my name is Shikhar Verma And I love making complex technical topics easy to understand.I have been in the IT Industry for more than 15 years and I had started my career as a Unix and Linux System Engineer in 2005 and currently working as solution architect in multinational company and also a professional IT trainer.And I'm here on Udemy, Upgrad, Pluralsight & Skillshare to teach what I know in an approachable way. I started teaching courses in 2016, and have taught over 60,000 students. I am grateful every day with being able to connect with so many students in almost every country around the world. My profile:https://www.udemy.com/user/shikhar-verma-6Hi there, my name is Shikhar Verma And I love making complex technical topics easy to understand.

I have been in the IT Industry for more than 15 years and I had started my career as a Unix and Linux System Engineer in 2005 and currently working as solution architect in multinational company and also a professional IT trainer.

And I'm here on Udemy, Upgrad, Pluralsight & Skillshare to teach what I know in an approachable way. I started teaching courses in 2016, and have taught over 60,000 students. I am grateful every day with being able to connect with so many students in almost every country around the world. 

My profile:

https://www.udemy.com/user/shikhar-verma-6",17.33,0.0,9.67
570,730,1,"6+ years of experience as Game Developer with a demonstrated history of working in the mobile gaming industry.Skilled in Unity3D, C#, Inkscape and Blender.I have published 6 indie games on Play Store and 9 games on the App Store. I also have 15+ assets on the Unity Asset StoreI'm looking for better and vivid opportunities to work overseas on AAA titles and learn everything the industry has to offer. Have a nice day!6+ years of experience as Game Developer with a demonstrated history of working in the mobile gaming industry.
Skilled in Unity3D, C#, Inkscape and Blender.
I have published 6 indie games on Play Store and 9 games on the App Store. I also have 15+ assets on the Unity Asset Store
I'm looking for better and vivid opportunities to work overseas on AAA titles and learn everything the industry has to offer. 
Have a nice day!",0.0,0.0,121.67
1827,657,1,"I am participating in developing Connect product for analyzing real time statistics (user behavior, realtime customer segmentation, realtime push delivery according to the predefined alerts) of mobile and web applications.Using microservice architecture along with Docker Swarm and AWS for horizontal scalability.Using Apache Kafka for inter-microservice communication and Kafka Streams for realtime stream processing.Using Couchbase as Nosql database and ElasticSearch as search engine. I am dealing with huge amount of data and events in both streams and stored data.I am participating in developing Connect product for analyzing real time statistics (user behavior, realtime customer segmentation, realtime push delivery according to the predefined alerts) of mobile and web applications.
Using microservice architecture along with Docker Swarm and AWS for horizontal scalability.
Using Apache Kafka for inter-microservice communication and Kafka Streams for realtime stream processing.
Using Couchbase as Nosql database and ElasticSearch as search engine. 
I am dealing with huge amount of data and events in both streams and stored data.",0.0,0.0,111.61
1447,326,0,Temotec Learning AcademyTemotec Learning Academy,0.0,0.0,5.67
2503,307,0,"My passion is transforming the way business analysts elicit, capture, and communicate requirements between business and technical audiences. For the past 40 years, I have presented, trained, facilitated, mentored, and practiced  business analysis for information technology. Recently, I  decided to focus on automated tools, techniques, and ideas that help business analysts increase their proficiency. I am actively investigating the use of tools such as Artificial Intelligence Writers to improve verbal communication and visualization tools such as diagramming software to improve visual communication.Together with my business partner and wife, I have published over 10 business analysis books and 14 self-paced courses covering every aspect of requirements elicitation, capture, writing, communicating, and testing. I offer virtual instructor-led training and also publish free videos on my YouTube channel baexperts.My passion is transforming the way business analysts elicit, capture, and communicate requirements between business and technical audiences. For the past 40 years, I have presented, trained, facilitated, mentored, and practiced  business analysis for information technology. Recently, I  decided to focus on automated tools, techniques, and ideas that help business analysts increase their proficiency. I am actively investigating the use of tools such as Artificial Intelligence Writers to improve verbal communication and visualization tools such as diagramming software to improve visual communication.

Together with my business partner and wife, I have published over 10 business analysis books and 14 self-paced courses covering every aspect of requirements elicitation, capture, writing, communicating, and testing. I offer virtual instructor-led training and also publish free videos on my YouTube channel baexperts.",3.67,0.0,60.88
1889,1371,1,"Except for the first couple of years in my career where I worked for Aptech Computer Education, I have been an independent consultant for software development and training. My corporate trainings these days are mostly on the following technologies:* Springboot/Hibernate/JPA/EJB/RESTful services* Node.js* AngularJS 1.6, Angular, ReactJS, Mongodb* PythonI am also a consultant to Centre for Teacher's Accreditation (CENTA https://centa.org) and take up freelance software development too. Checkout some of my recent work:http://madhwaconnect.com/services http://cinetalenters.comhttps://centa.orghttp://tpo-india.orghttp://esurveying.netand my official website https://vinod.coI am also a level-2 seller on fiverr, where I offer some of the unique services. Check out my profile at http://fiverr.com/vinod20011974, although I am not very active these days here.Except for the first couple of years in my career where I worked for Aptech Computer Education, I have been an independent consultant for software development and training. 

My corporate trainings these days are mostly on the following technologies:
* Springboot/Hibernate/JPA/EJB/RESTful services
* Node.js
* AngularJS 1.6, Angular, ReactJS, Mongodb
* Python

I am also a consultant to Centre for Teacher's Accreditation (CENTA https://centa.org) and take up freelance software development too.
 
Checkout some of my recent work:
http://madhwaconnect.com/services 
http://cinetalenters.com
https://centa.org
http://tpo-india.org
http://esurveying.net

and my official website https://vinod.co

I am also a level-2 seller on fiverr, where I offer some of the unique services. Check out my profile at http://fiverr.com/vinod20011974, although I am not very active these days here.",10.0,0.0,91.32
1292,17,0,,0.67,0.0,233.37
942,1352,1,"I have a profound expertise in geospatial programming and analysis. Most of my geospatial development is involved in data pipeline creation, data wrangling, data analysis, and data visualization. I am constantly learning new technologies in cloud, GIS, remote sensing, and data science.I like to share what I know on my YouTube channel https://www.youtube.com/TipsForGISChannel. I also have a GitHub account: https://github.com/TipsForGIS and a I have a Udemy course: https://www.udemy.com/user/ahmad-aburizaizaI enjoy working with innovative and dynamic teams to solve global environmental affairs, serve wellness for people, and protect natural resources.I have a profound expertise in geospatial programming and analysis. Most of my geospatial development is involved in data pipeline creation, data wrangling, data analysis, and data visualization. I am constantly learning new technologies in cloud, GIS, remote sensing, and data science.

I like to share what I know on my YouTube channel https://www.youtube.com/TipsForGISChannel. I also have a GitHub account: https://github.com/TipsForGIS and a I have a Udemy course: https://www.udemy.com/user/ahmad-aburizaiza

I enjoy working with innovative and dynamic teams to solve global environmental affairs, serve wellness for people, and protect natural resources.",20.0,4.0,172.49
385,1595,1,"When being asked why I do what I do, the answer is simple: I am passionate about helping businesses grow and reach their potential. Most businesses started out as someone's dream, and I am here to ensure that the dream has a solid foundation beneath it.At MAKBIZ Ventures, we love technology, marketing and strategy; and we combine all three to create growth solutions for your business. In today's market, integrated campaigns and consistent implementation strategies are key to growing your business. We are here to assist you with online, offline and strategic solutions.I am a successful entrepreneur, a wife and a mom – however, my life isn’t about being in different roles at different times of the day, but about bringing 100% of me to all I do and sharing my passion, experience and knowledge with my clients. I truly believe we can build the business we want, live the lives we dream of… but we must make a choice to commit to the journey.Specialties: •  Business Growth Coaching, Consulting & Training•  Brand Story Development & Consulting•  Marketing Consulting, Coaching & Training•  Website Development & Website Design•  Mobile Landing Pages & Mobile Website Development•  Cross Media Marketing Campaigns•  Direct Response Marketing Campaigns•  Lead Generation Campaigns•  Print Marketing Consulting•  Print Marketing Collateral Development and Production•  Social Media Account & Profile Optimization & Strategies (Facebook, Instagram, LinkedIn, Twitter, YouTube)When being asked why I do what I do, the answer is simple: I am passionate about helping businesses grow and reach their potential. Most businesses started out as someone's dream, and I am here to ensure that the dream has a solid foundation beneath it.

At MAKBIZ Ventures, we love technology, marketing and strategy; and we combine all three to create growth solutions for your business. In today's market, integrated campaigns and consistent implementation strategies are key to growing your business. We are here to assist you with online, offline and strategic solutions.

I am a successful entrepreneur, a wife and a mom – however, my life isn’t about being in different roles at different times of the day, but about bringing 100% of me to all I do and sharing my passion, experience and knowledge with my clients. I truly believe we can build the business we want, live the lives we dream of… but we must make a choice to commit to the journey.

Specialties: 
•  Business Growth Coaching, Consulting & Training
•  Brand Story Development & Consulting
•  Marketing Consulting, Coaching & Training
•  Website Development & Website Design
•  Mobile Landing Pages & Mobile Website Development
•  Cross Media Marketing Campaigns
•  Direct Response Marketing Campaigns
•  Lead Generation Campaigns
•  Print Marketing Consulting
•  Print Marketing Collateral Development and Production
•  Social Media Account & Profile Optimization & Strategies (Facebook, Instagram, LinkedIn, Twitter, YouTube)",1.0,0.0,50.73
2592,3950,0,"I’m a Front End Web developer who is passionate about making error-free websites with 100% client satisfaction. I have a passion for learning and sharing my knowledge with others as publicly as possible. I love to solve real-world problems. I am strategic, goal-oriented, and always work with an end goal in mind. Over the past years, I created 100s of websites for my clients. I pride myself on doing quality work and maintain excellent communication. Most of the time I work with WordPress but some technologies I enjoy working with include ReactJS, JavaScript as well as PHP.Why Choose Me?✔  Many clients are happy after working with me.✔  I will revise until your satisfaction✔  Customer Satisfaction is my First PriorityMy Service:✅  WordPress✅  WordPress Theme Creation from PSD, HTML/CSS✅  Theme Customization✅  Website Fixing✅  Woo-commerce Development / Customization✅  Web Design✅  JavaScript /  Bootstrap / HTML5 / CSS3✅  Photoshop✅  IllustratorFor Instant Inquiry:☑  Email: shovoalways@gmail.com☑  skype: shovo654Full and fresh hand code is my power. Client satisfaction is my first priority. Work with me and be happy with the result.Leran More about me: 🔗 http://www.alihossain.com/I’m a Front End Web developer who is passionate about making error-free websites with 100% client satisfaction. I have a passion for learning and sharing my knowledge with others as publicly as possible. I love to solve real-world problems. I am strategic, goal-oriented, and always work with an end goal in mind. Over the past years, I created 100s of websites for my clients. I pride myself on doing quality work and maintain excellent communication. Most of the time I work with WordPress but some technologies I enjoy working with include ReactJS, JavaScript as well as PHP.

Why Choose Me?

✔  Many clients are happy after working with me.
✔  I will revise until your satisfaction
✔  Customer Satisfaction is my First Priority

My Service:

✅  WordPress
✅  WordPress Theme Creation from PSD, HTML/CSS
✅  Theme Customization
✅  Website Fixing
✅  Woo-commerce Development / Customization
✅  Web Design
✅  JavaScript /  Bootstrap / HTML5 / CSS3
✅  Photoshop
✅  Illustrator

For Instant Inquiry:
☑  Email: shovoalways@gmail.com
☑  skype: shovo654

Full and fresh hand code is my power. Client satisfaction is my first priority. Work with me and be happy with the result.

Leran More about me: 
🔗 http://www.alihossain.com/",382.0,20.33,17.15
76,3668,1,We combine graphic design with the technologies necessary to achieve communication goals across various media.We combine graphic design with the technologies necessary to achieve communication goals across various media.,9.67,0.67,40.59
2288,398,0,"Public Cloud Specialist on AWS, Azure & Google, Senior Java Software Developer for large Enterprise ProjectsPublic Cloud Specialist on AWS, Azure & Google, Senior Java Software Developer for large Enterprise Projects",11.67,0.67,101.47
462,1924,1,"I should put text here to make me sound super smart and professional, but i just dont do that. Instead, i wanna help inspire you to work for yourself. I worked with corporate companies and i realized i just couldn't do it. The 9-5 made me feel like a slave. I couldnt make any decision. I had to follow and listen. I started to realize this line of work just isnt for me. Instead, ive dedicated my time to help others learn how to create their own business's and start something on their own. If you wake up everyday and drag your feet to your job, its only a matter of time before you wake up and realize your stuck their forever. Take my word for it. Take the Risk. Its worth every second. https://www.youtube.com/watch?v=eVQu-eUwaXwI should put text here to make me sound super smart and professional, but i just dont do that. Instead, i wanna help inspire you to work for yourself. I worked with corporate companies and i realized i just couldn't do it. The 9-5 made me feel like a slave. I couldnt make any decision. I had to follow and listen. 

I started to realize this line of work just isnt for me. Instead, ive dedicated my time to help others learn how to create their own business's and start something on their own. If you wake up everyday and drag your feet to your job, its only a matter of time before you wake up and realize your stuck their forever. Take my word for it. Take the Risk. Its worth every second. 

https://www.youtube.com/watch?v=eVQu-eUwaXw",10.0,1.0,223.23
632,243,0,"Christian Author of Scripture Studies since 2009Christian Fiction author since 2005Font designer since 1993Author of digital publishing and desktop publishing and graphic design books since 1994graphic design experience since 1967Digital printing &amp; publishing teacher since 1991an Art Director since 1983 (heading in-house art departments)Specialties: scripture teaching, typography, page layout, writing, editing, Creative Suite, FontLab, image manipulation, ilustrationChristian Author of Scripture Studies since 2009
Christian Fiction author since 2005
Font designer since 1993
Author of digital publishing and desktop publishing and graphic design books since 1994
graphic design experience since 1967
Digital printing &amp; publishing teacher since 1991
an Art Director since 1983 (heading in-house art departments)

Specialties: scripture teaching, typography, page layout, writing, editing, Creative Suite, FontLab, image manipulation, ilustration",0.33,1.0,101.47
1101,2193,1,"QUALIFICATIONS PROFILE:Masters in Computer Science and Information Technology (MA in CS &IT)Specialisant of Computer Science (B.IT-spec CS)BSc (Bachelor) of Information Technologies (B.IT) - FIT in BanjalukaHigh School of Electronic Engineering / unit: Electronic technician in BanjalukaSPECIALIST  TRAININGS  AND  COURSES:HOMEPAGE: www.majkic.netCOURSE / TRAINING http://www.majkic.net/eng/portfolio/download-cvSPECIALTIES: Project Management, Information systems, Scrum Professional Scrum Master PSM, Professional Scrum Product owner PSPO, Risk Management, Change Management, HR, Business nagotiation, Public procurement, Job anlysis, Software testing, Joomla, Moodle, web development, database administration,  government IS, Assets recovery, Backup strategy, cms, computer hardware,  corel draw, linux, presentation and procurement skills, public speaking, time management,  training programs,QUALIFICATIONS PROFILE:

Masters in Computer Science and Information Technology (MA in CS &IT)
Specialisant of Computer Science (B.IT-spec CS)
BSc (Bachelor) of Information Technologies (B.IT) - FIT in Banjaluka
High School of Electronic Engineering / unit: Electronic technician in Banjaluka

SPECIALIST  TRAININGS  AND  COURSES:

HOMEPAGE: www.majkic.net

COURSE / TRAINING http://www.majkic.net/eng/portfolio/download-cv

SPECIALTIES: Project Management, Information systems, Scrum Professional Scrum Master PSM, Professional Scrum Product owner PSPO, Risk Management, Change Management, HR, Business nagotiation, Public procurement, Job anlysis, Software testing, Joomla, Moodle, web development, database administration,  government IS, Assets recovery, Backup strategy, cms, computer hardware,  corel draw, linux, presentation and procurement skills, public speaking, time management,  training programs,",0.67,0.0,7.0
